Id,NAME,ADDRESS,CITY,STATE_HEADQUARTERED,ZIP,PHONE,AMOUNT_COVERED,AMOUNT_UNCOVERED,REVENUE,COVERED_ENCOUNTERS,UNCOVERED_ENCOUNTERS,COVERED_MEDICATIONS,UNCOVERED_MEDICATIONS,COVERED_PROCEDURES,UNCOVERED_PROCEDURES,COVERED_IMMUNIZATIONS,UNCOVERED_IMMUNIZATIONS,UNIQUE_CUSTOMERS,QOLS_AVG,MEMBER_MONTHS
b3221cfc-24fb-339e-823d-bc4136cbc4ed,Dual Eligible,7500 Security Blvd,Baltimore,MD,21244,1-877-267-2323,107659718.68,14622000.98,53621500.00,39430,0,55364,0,75940,0,10840,0,787,0.6117784741988462,117948
7caa7254-5050-3b5e-9eae-bd5ea30e809c,Medicare,7500 Security Blvd,Baltimore,MD,21244,1-800-633-4227,1552526013.46,149827018.08,331869250.00,591510,0,1101186,0,1071965,0,134671,0,7109,0.7683630298424025,1352832
7c4411ce-02f1-39b5-b9ec-dfbea9ad3c1a,Medicaid,7500 Security Blvd,Baltimore,MD,21244,1-877-267-2323,2191827800.78,146408997.94,271179750.00,334855,0,190876,0,845407,0,74343,0,6750,0.82238675916711,1114332
d47b3510-2895-3b70-9897-342d681c769d,Humana,500 West Main St,Louisville,KY,40018,1-844-330-7799,49510057.50,796663022.82,2750579600.00,220621,38328,0,269182,0,482684,0,101312,13238,0.7731582446284513,1624380
6e2f1a2d-27bd-3701-8d08-dae202c58632,Blue Cross Blue Shield,Michigan Plaza,Chicago,IL,60007,1-800-262-2583,625131269.60,305099248.81,2816274600.00,257421,0,264822,0,492749,0,97929,0,13154,0.7964373930734177,1555476
5059a55e-5d6e-34d1-b6cb-d83d16e57bcf,UnitedHealthcare,9800 Healthcare Lane,Minnetonka,MN,55436,1-888-545-5205,52559927.88,743503087.35,2878766000.00,205359,35628,0,250408,0,436425,0,94520,13051,0.7733487313392474,1519608
4d71f845-a6a9-3c39-b242-14d25ef86a8d,Aetna,151 Farmington Ave,Hartford,CT,6156,1-800-872-3862,50888985.05,714940056.88,2991288000.00,203076,35566,0,250184,0,436382,0,93076,13000,0.7738689208810325,1499916
047f6ec3-6215-35eb-9608-f9dda363a44c,Cigna Health,900 Cottage Grove Rd,Bloomfield,CT,6002,1-800-997-1654,49503411.56,699366182.52,3102395100.00,198310,34555,0,245987,0,421443,0,91653,12930,0.7753953579264273,1481244
42c4fca7-f8a9-3cd1-982a-dd9751bf3e2a,Anthem,220 Virginia Ave,Indianapolis,IN,46204,1-800-331-1476,49104721.69,723459565.82,3214015200.00,103555,128329,0,245485,0,431655,0,90865,12838,0.7714305117659339,1465800
b1c428d6-4f07-31e0-90f0-68ffa6ff8c76,NO_INSURANCE,,,,,,0.00,4381149035.82,0.00,0,697061,0,770645,0,1196219,0,103321,877,1.9585437875052139,488040
